county_fips,dc_records,dc_count,dc_sqft,dc_mean_lat,dc_mean_lon,dc_types
28089,3,1,49744134.0,32.597369963129964,-90.0925490018181,campus
29019,3,1,118461.0,38.92351402996504,-92.28861792813008,building
29025,3,1,4299.0,39.74404822431409,-93.99737602096583,building
29047,10,3,56837113.0,39.32249598361646,-94.59617743010693,"building, campus"
29095,6,2,0.0,39.10104435000003,-94.57998305000001,point
29165,15,5,1383861.0,39.294854438945116,-94.67948250229897,building
29510,9,3,214953.0,38.63184927095801,-90.21632867035902,building
30017,3,1,25479.0,46.40689183853141,-105.82063291746367,building
30039,3,1,4530.0,46.33213163011635,-113.29267194437178,building
31019,3,1,1068375.0,40.72588478097665,-99.03833111519116,campus
31055,29,10,46401284.0,41.309215868748254,-96.04716943363417,"building, campus"
31153,42,15,52633120.0,41.13198682117214,-96.13558135899135,"building, campus"
32003,68,23,13907925.0,36.10010134867758,-115.14299814437386,"building, campus, point"
32029,12,4,3948960.0,39.513388483872056,-119.48081611445211,"building, point"
32031,33,11,3527640.0,39.5680607825775,-119.54234126443717,building
33015,6,2,51147.0,43.02911768255317,-70.87932522575326,building
33017,3,1,91659.0,43.14362153191436,-70.95246489335524,building
34003,3,1,602412.0,41.07822202828925,-74.1529169351875,building
34013,6,2,591660.0,40.77907753278237,-74.1540590790603,building
34015,3,1,123174.0,39.83093012584692,-75.19532325401511,building
34017,46,16,7947769.0,40.77980343284793,-74.06119058757109,"building, campus, point"
34021,3,1,0.0,40.31555800000001,-74.6688514,point
34023,39,13,7393005.0,40.54611279691625,-74.44228708040751,"building, point"
34025,3,1,77712.0,40.15704355021882,-74.10158204991365,building
34031,9,3,724611.0,40.8312988450684,-74.13051451409619,building
34035,42,14,5440875.0,40.555651434183645,-74.59915253308588,"building, campus"
34039,3,1,283119.0,40.64377050547912,-74.28546771082303,building
35001,24,8,681126.0,35.06867648900471,-106.6078788731009,"building, point"
35013,3,1,95511.0,32.309657267192186,-106.72917140762458,building
35049,3,1,95181.0,35.672457248139494,-105.95655525378346,building
35061,17,6,52762317.0,34.82868028909619,-106.78030030382499,"building, campus"
36001,9,3,77460.0,42.710141125165265,-73.77687017691356,"building, point"
36029,6,2,125814.0,43.01759485870276,-78.78079610579043,"building, point"
36047,3,1,0.0,40.6576957,-74.0048163,point
36061,10,4,219561.0,40.7182535470995,-74.006137519021,"building, point"
36063,6,2,233403.0,43.07845509322056,-78.98776044568119,building
36067,3,1,36507.0,43.012076178864696,-76.1159252927028,building
36085,6,2,400302.0,40.60719655079703,-74.17402245473305,building
36087,12,4,2382837.0,41.04076580586797,-73.98116280912136,building
36103,3,1,110238.0,40.84366623312007,-72.88336238964008,building
36119,3,1,40278.0,40.95126975013526,-73.89790099986851,building
37027,3,1,10221582.0,35.89413040740542,-81.54628579547166,campus
37035,11,4,13786845.0,35.5884326889531,-81.26228894028108,"building, campus"
37045,3,1,1139970.0,35.25042590210466,-81.39497338143788,campus
37063,9,3,0.0,35.92195343333332,-78.8805523,point
37119,15,5,809478.0,35.19225742484311,-80.89467823761362,building
37161,11,4,12114413.0,35.31593474171482,-81.82465379736698,"building, campus"
37179,3,1,1824423.0,35.17942413315748,-80.57010947291462,campus
37183,12,4,591858.0,35.79540135577816,-78.65091583013795,"building, point"
38017,3,1,77793.0,46.815098464067496,-96.84430183568503,building
38021,3,1,8118111.0,46.01349700556708,-98.57273161601313,campus
39017,6,2,4630875.0,39.350498331711556,-84.50775749178959,"campus, point"
39023,3,1,239811.0,39.91279405538279,-83.72378737470571,building
39035,14,5,3065713.0,41.4522211062153,-81.70955390965148,"building, campus"
39041,3,1,922935.0,40.224526185667116,-83.04586334357406,building
39043,3,1,1900452.0,41.43236717966264,-82.7190167756965,building
39045,3,1,867759.0,39.72400854156093,-82.6911225434102,building
39049,97,32,45031635.0,40.05726964402864,-83.04842589785426,"building, campus"
39061,6,2,127824.0,39.19838713753967,-84.46500959452943,building
39089,99,33,118418219.0,40.07971814917783,-82.74937757028006,"building, campus"
39099,3,1,226137.0,41.041008985596015,-80.63309249853585,building
39153,3,1,178281.0,41.05742554570884,-81.52195621369725,building
39159,24,8,4422231.0,40.122529106552044,-83.20463741592583,building
39165,6,2,843648.0,39.34646386681417,-84.26665461202633,building
39173,3,1,64494567.0,41.465337164820525,-83.63854964054946,campus
40013,3,1,40482.0,33.97172675182345,-96.4028528841471,building
40101,3,1,337398.0,35.56813484893099,-95.51241664579857,building
40109,3,1,0.0,35.46720489999999,-97.6497453,point
40143,9,3,1270248.0,36.14775962877851,-95.86747154052662,"building, point"
41005,3,1,74562.0,45.31873116793947,-122.76587566407937,building
41013,37,13,77391437.0,44.293971696572626,-120.88076743346704,"building, campus"
41017,3,1,33747.0,44.04742468336004,-121.32854958196606,building
41033,3,1,0.0,42.43788240000002,-123.3286299,point
41039,3,1,0.0,43.7971554,-123.05594560000002,point
41043,3,1,7563.0,44.77521586223822,-122.6159312136262,building
41047,6,2,213195.0,44.93230378438221,-123.01774585523269,building
41049,84,28,15576906.0,45.84357823558067,-119.63595933455534,building
41051,4,2,124668.0,45.52151387849763,-122.68066852875772,"building, point"
41059,93,31,13328685.0,45.88203242376765,-119.29362467548914,building
